target,source
80,6394
226,15137
226,10854
169,6990
399,2393
67,1543
211,10250
259,5949
109,3735
25,2700
175,6914
193,8948
143,7624
491,1777
175,6901
145,5124
164,5661
201,4078
1248,5039
17,540
107,3071
525,23686
0,2007
102,3966
188,2738
212,17226
926,35555
1140,53579
607,3643
71,2071
218,119384
249,7883
677,18469
192,11032
272,6337
133,2911
321,1620
140,4267
499,13062
332,2111
194,1015
192,3781
109,2949
85,1571
130,2194
172,480
99,1420
207,5216
129,2270
252,3824
238,4528
351,11877
172,3607
227,8188
87,567
155,18178
225,14645
119,9596
41,1695
352,6695
171,5908
109,2057
49,460
120,903
140,18056
985,1255
944,2227
70,2697
554,44336
344,4763
92,2827
82,2266
372,8981
237,7969
286,2743
142,8936
171,17788
201,28304
238,3987
248,2281
144,7461
254,56031
416,17026
113,2270
65,1089
352,20120
144,2201
431,39249
150,5858
440,1588
170,3611
282,1952
262,4297
24,3391
55,989
165,3083
290,6899
556,14177
119,13850
446,7455
123,4416
1065,229792
252,7320
597,3170
272,2450
51,2164
413,3167
57,1736
303,7531
402,14225
164,11170
417,12129
129,11316
626,44385
544,11450
123,3455
96,3605
128,7135
109,4467
146,4561
110,31177
155,12864
741,6133
305,8107
67,8641
434,11925
349,7830
131,5739
667,15136
331,1157
1092,101196
1118,237149
394,87402
320,41159
330,17252
724,35331
271,4456
377,21328
470,89137
207,5117
534,7947
180,6090
109,2287
201,1433
88,2478
276,3744
195,3888
109,347
239,6723
336,23161
398,12894
300,7202
227,15060
439,2513
209,4943
178,12467
205,3576
706,16547
589,9369
277,37711
148,10607
744,46961
21,1640
180,2425
464,9404
393,21866
173,8719
161,7587
141,3206
352,4066
291,4653
115,8678
126,975
117,1113
48,2647
118,7003
67,4546
181,10497
220,6728
148,18446
270,14929
165,2932
218,8456
142,1656
645,3967
358,5033
736,4152
179,2181
524,4148
63,4464
113,4181
322,11977
660,4240
814,4551
158,10792
264,17370
111,1438
815,18968
34,6014
205,17445
280,23727
36,1993
141,2532
2192,177945
383,3682
389,2949
91,147
60,241
201,3751
89,2673
131,6894
1114,83011
241,24458
189,10817
128,7382
109,28938
290,12595
391,5398
311,5077
742,14591
41,3502
31,1750
211,64002
197,12626
362,3931
451,3867
125,2528
190,2842
114,2645
52,790
130,4547
276,6583
227,21481
132,6292
397,12839
25,746
145,5203
137,7903
147,162041
273,115504
74,2472
113,8206
184,5695
619,7688
195,9214
176,4660
335,15896
306,6280
400,20599
501,27826
108,6953
224,39013
358,53422
309,42643
244,19365
158,6169
62,1770
160,62
175,2719
199,6245
205,3606
200,9031
89,5095
58,1254
59,2365
113,2188
206,3714
136,10998
87,11042
90,2671
118,1150
414,34683
130,3247
259,11207
229,17628
81,275
377,3976
1422,26923
14,3146
186,365
179,1445
94,1714
42,399
754,135646
123,21981
97,2036
228,22326
298,7007
90,14800
22,104
150,5063
464,66737
139,1549
84,7645
105,1536
223,23832
102,3926
56,979
251,6150
41,1919
379,6810
96,5295
80,3336
2451,9508
295,27937
139,8868
408,42417
64,971
32,1720
280,10212
174,27100
797,15769
224,235
116,4224
725,12830
279,4243
412,21276
152,7099
778,18155
71,1005
268,17259
250,7314
61,10251
635,67874
421,22383
277,4237
114,5378
346,10526
202,5415
140,1560
276,8786
147,2854
144,9652
528,2532
386,9873
184,6564
265,8583
180,5322
59,218
86,5177
164,4853
137,4375
134,11345
127,42561
225,4597
119,11770
358,15234
129,7230
310,18814
134,7323
60,7842
101,5421
187,9797
215,6354
41,4371
209,5121
92,8208
674,7751
120,4091
95,2825
305,14748
237,10545
228,6309
111,14884
131,6401
206,5379
653,4937
81,5408
195,15690
490,4327
131,20899
253,15265
307,37518
97,1722
64,1954
185,1123
1016,17819
103,4038
63,7954
113,3088
182,2210
107,838
160,38399
217,6977
207,19894
104,4164
223,8210
302,31145
102,9874
83,518
176,2326
354,6757
103,2757
230,9482
300,3029
721,231104
7,59771
251,9922
837,68173
539,7719
516,28669
271,3121
5,18848
65,2361
306,19378
399,10453
48,907
356,5200
148,1278
165,7244
178,3100
375,3580
360,2400
78,2379
575,15383
283,22132
143,8577
563,13889
153,14958
337,22272
129,2632
335,10573
189,19191
142,11784
360,10203
323,10450
320,9517
95,1987
229,3505
117,2532
120,2631
160,6832
277,11692
188,3326
185,10628
2172,7203
136,3206
133,3419
719,144411
140,5257
64,693
149,2266
392,5906
427,3801
24,1317
108,3307
582,11210
184,2205
215,4179
179,2949
144,13913
104,6606
292,5492
227,4860
88,2469
343,6347
409,28420
272,4780
167,3486
566,3621
266,19170
14,4681
94,8416
134,10279
363,2852
322,13154
219,14628
69,8002
216,9663
80,2622
670,14414
124,3657
67,1189
494,12281
100,5797
136,2954
403,3309
120,8699
103,2095
210,4746
108,8918
187,5446
79,4754
73,365
379,3923
86,2940
431,14671
195,2574
270,2873
68,5419
355,5996
557,6980
91,6267
447,37321
420,5279
98,1848
165,6214
38,126
45,1863
192,4428
646,4344
522,18895
449,80516
111,5769
110,7916
81,2121
581,114306
314,401
136,11444
258,6830
305,4246
436,24046
254,6192
221,10475
173,3125
446,3457
223,5446
630,6867
422,4761
1060,8225
124,7556
395,5131
240,6409
703,4169
242,5992
193,15391
151,8298
242,17554
345,23196
425,116731
136,5193
297,14138
188,2260
222,13730
162,41919
688,40783
175,1312
333,1945
159,4630
205,5885
176,14563
306,14055
217,2923
189,6567
300,9295
431,20878
27,1343
217,9748
266,1217
324,16553
281,10178
76,5278
289,3993
242,8067
94,12908
321,10552
162,2977
79,2513
19,878
286,4233
84,1726
365,2996
198,2819
83,7151
139,7609
825,9310
230,3999
125,7667
598,1245
125,1185
406,7149
274,11801
256,24641
101,334
371,13546
48,4195
28,4428
260,6223
148,3753
225,4278
463,10359
136,3061
190,7219
139,5792
582,2735
108,621
156,11209
177,1283
29,28204
339,6887
549,4992
81,1025
134,757
263,1795
356,3619
116,5265
482,2587
351,2196
663,34944
241,4845
647,50855
900,143378
447,17711
284,13999
60,2508
165,24051
350,9519
161,1216
384,18200
329,11977
444,23214
289,3069
82,4771
979,31132
282,79965
529,55743
359,2260
136,26974
548,12805
1059,50894
159,29069
1763,35798
827,10501
353,4240
123,6699
106,8838
62,182
445,12793
429,6111
885,3061
186,1118
332,46642
254,20882
828,1582
131,2877
420,2016
307,5000
126,7983
379,23300
66,4539
71,1404
89,4428
102,335
178,2120
158,2777
354,31192
259,26057
120,1005
383,3085
316,15660
158,10873
380,27619
202,2238
451,9397
69,2734
314,11355
539,39267
113,1625
49,1075
91,1321
45,64
92,2347
272,2419
32,21
66,2613
69,1596
344,1377
218,11696
189,5428
32,6921
73,4950
142,3696
157,4453
209,19980
133,2587
240,8117
155,2635
6,34927
101,11505
221,40163
415,47058
710,9361
127,2170
349,4610
324,27644
122,5469
123,3558
366,8395
229,7622
208,5485
153,7336
314,7175
420,10723
918,11647
34,1477
274,64509
182,4632
58,9600
182,7588
508,10473
211,1887
382,9134
383,3844
110,219
176,3790
450,23011
202,20127
178,5514
180,6361
294,4264
57,7157
239,8925
479,138876
295,6540
375,51002
271,7567
431,15323
270,6118
270,3695
190,18160
120,1233
584,2817
76,1098
127,5436
358,3300
412,3751
388,2122
73,2857
150,4877
319,5452
155,10808
467,4847
175,2074
136,8905
427,3069
240,18070
222,2837
228,9181
406,3032
385,3318
52,3226
237,2103
101,255
205,3653
315,25681
484,2060
2130,63278
181,1185
444,6791
178,201
193,16274
205,4265
98,1511
205,574
124,6142
164,14305
356,4994
316,32728
218,8019
188,16115
184,9890
116,11598
19,3899
332,9832
86,2491
471,5208
45,1871
272,12213
156,5163
204,11927
267,11113
192,13806
129,10963
120,175
163,18173
84,3216
524,5857
284,3089
137,3320
275,7756
62,1417
713,1124
101,1136
127,6353
352,6453
564,2946
243,37333
311,17269
309,50794
165,2167
91,6248
235,9757
199,11136
288,14435
291,11989
100,13304
69,1495
97,1575
394,7603
204,6690
130,4337
133,4432
307,3752
129,24088
631,17862
142,4523
339,11856
80,2810
135,3288
265,5402
545,15319
83,2530
97,5365
78,1643
250,1506
129,8317
59,1008
86,1734
